group_index,group_name,size,start,end
0,picc,34,0,33
1,fl,37,34,70
2,fl_lip-tight,37,71,107
3,altofl,37,108,144
4,bassfl,37,145,181
5,kbfl,38,182,219
6,ob,41,220,260
7,ci,34,261,294
8,cl-inEs,45,295,339
9,cl-inB,42,340,381
10,cl-inA,42,382,423
11,basscl,44,424,467
12,fg,47,468,514
13,fh_tube-F,86,515,600
14,fh_tube-B,11,601,611
15,basstrb,56,612,667
16,basstrb_mute-straight,56,668,723
17,basstrb_mute-straightMetal,56,724,779
18,basstrb_mute-cup,56,780,835
19,basstrb_mute-harmonNOstemOPENED,56,836,891
20,basstrb_mute-harmonNOstemCLOSED,56,892,947
21,basstrb_mute-harmonStemmedOPENED,56,948,1003
22,basstrb_mute-harmonStemmedCLOSED,56,1004,1059
23,basstrb_mute-bucket,56,1060,1115
24,basstrb_tube-F,48,1116,1163
25,basstrb_tube-F_mute-straightMetal,48,1164,1211
26,basstrb_tube-F_mute-bucket,48,1212,1259
27,basstrb_tube-Ges,48,1260,1307
28,basstrb_tube-D,39,1308,1346
29,va,40,1347,1386
30,gauss_sigma-002.5%,97,1387,1483
31,gauss_FWHM-wholetone,97,1484,1580
32,gauss_FWHM-halftone,97,1581,1677
33,gauss_FWHM-quartertone,97,1678,1774
34,gauss_FWHM-eighthtone,97,1775,1871
35,gauss_FWHM-sixteenthtone,97,1872,1968
